1/14/2000 17:30,200001141730,00.02,003,,010,01.14,001,,010,,010,,010,,010,,010,1012.00,001,,010,345.65,001,04.41,001,,,,,,,,,,,,,,,,,,
1/14/2000 18:00,200001141800,00.02,003,,010,00.99,001,,010,,010,,010,,010,,010,1012.00,001,,010,345.00,001,04.42,001,,,,,,,,,,,,,,,,,,
1/14/2000 18:30,200001141830,00.02,003,,010,01.01,001,,010,,010,,010,,010,,010,1012.50,001,,010,349.55,001,03.96,001,,,,,,,,,,,,,,,,,,
1/14/2000 19:00,200001141900,00.02,003,,010,01.16,001,,010,,010,,010,,010,,010,1013.00,001,,010,351.85,001,03.98,001,,,,,,,,,,,,,,,,,,
1/14/2000 19:30,200001141930,00.02,003,,010,01.07,001,,010,,010,,010,,010,,010,1013.00,001,,010,353.15,001,03.37,001,,,,,,,,,,,,,,,,,,
1/14/2000 20:00,200001142000,00.02,003,,010,01.10,001,,010,,010,,010,,010,,010,1013.50,001,,010,355.70,001,02.72,001,,,,,,,,,,,,,,,,,,
1/14/2000 20:30,200001142030,00.02,003,,010,00.83,001,,010,,010,,010,,010,,010,1014.00,001,,010,354.45,001,02.62,001,,,,,,,,,,,,,,,,,,
1/14/2000 21:00,200001142100,00.02,003,,010,00.89,001,,010,,010,,010,,010,,010,1014.00,001,,010,350.90,001,03.16,001,,,,,,,,,,,,,,,,,,
1/14/2000 21:30,200001142130,00.02,003,,010,01.00,001,,010,,010,,010,,010,,010,1014.00,001,,010,354.80,001,02.92,001,,,,,,,,,,,,,,,,,,
1/14/2000 22:00,200001142200,00.02,003,,010,01.26,001,,010,,010,,010,,010,,010,1015.00,001,,010,351.35,001,03.30,001,,,,,,,,,,,,,,,,,,
1/14/2000 22:30,200001142230,00.02,003,,010,01.41,001,,010,,010,,010,,010,,010,1015.00,001,,010,353.10,001,02.41,001,,,,,,,,,,,,,,,,,,
1/14/2000 23:00,200001142300,00.02,003,,010,01.57,001,,010,,010,,010,,010,,010,1015.00,001,,010,352.45,001,02.51,001,,,,,,,,,,,,,,,,,,
1/14/2000 23:30,200001142330,00.02,003,,010,01.59,001,,010,,010,,010,,010,,010,1015.00,001,,010,356.80,001,01.74,001,,,,,,,,,,,,,,,,,,
1/15/2000 0:00,200001150000,00.02,003,,010,01.62,001,,010,,010,,010,,010,,010,1015.00,001,,010,180.83,001,01.26,001,,,,,,,,,,,,,,,,,,
1/15/2000 0:30,200001150030,00.02,003,,010,01.66,001,,010,,010,,010,,010,,010,1015.50,001,,010,180.44,001,01.09,001,,,,,,,,,,,,,,,,,,
1/15/2000 1:00,200001150100,00.02,003,,010,01.51,001,,010,,010,,010,,010,,010,1016.00,001,,010,339.10,001,01.94,001,,,,,,,,,,,,,,,,,,
1/15/2000 1:30,200001150130,00.02,003,,010,01.54,001,,010,,010,,010,,010,,010,1016.00,001,,010,342.20,001,01.68,001,,,,,,,,,,,,,,,,,,
1/15/2000 2:00,200001150200,00.02,003,,010,01.68,001,,010,,010,,010,,010,,010,1016.00,001,,010,335.85,001,01.66,001,,,,,,,,,,,,,,,,,,
1/15/2000 2:30,200001150230,00.02,003,,010,01.65,001,,010,,010,,010,,010,,010,1016.00,001,,010,337.30,001,01.32,001,,,,,,,,,,,,,,,,,,
1/15/2000 3:00,200001150300,00.02,003,,010,01.37,001,,010,,010,,010,,010,,010,1016.00,001,,010,325.35,001,01.07,001,,,,,,,,,,,,,,,,,,
1/15/2000 3:30,200001150330,00.02,003,,010,00.88,001,,010,,010,,010,,010,,010,1016.00,001,,010,304.05,001,00.56,001,,,,,,,,,,,,,,,,,,
1/15/2000 4:00,200001150400,00.02,003,,010,00.51,001,,010,,010,,010,,010,,010,1016.00,001,,010,231.45,001,00.57,001,,,,,,,,,,,,,,,,,,
1/15/2000 4:30,200001150430,00.02,003,,010,00.56,001,,010,,010,,010,,010,,010,1016.00,001,,010,218.40,001,00.48,001,,,,,,,,,,,,,,,,,,
1/15/2000 5:00,200001150500,00.02,003,,010,00.81,001,,010,,010,,010,,010,,010,1017.00,001,,010,169.50,001,00.79,001,,,,,,,,,,,,,,,,,,
1/15/2000 5:30,200001150530,00.02,003,,010,01.25,001,,010,,010,,010,,010,,010,1017.00,001,,010,159.25,001,01.08,001,,,,,,,,,,,,,,,,,,
1/15/2000 6:00,200001150600,00.02,003,,010,01.58,001,,010,,010,,010,,010,,010,1017.00,001,,010,216.80,001,01.02,001,,,,,,,,,,,,,,,,,,
1/15/2000 6:30,200001150630,00.02,003,,010,01.54,001,,010,,010,,010,,010,,010,1017.00,001,,010,222.20,001,00.82,001,,,,,,,,,,,,,,,,,,
1/15/2000 7:00,200001150700,00.02,003,,010,01.68,001,,010,,010,,010,,010,,010,1017.00,001,,010,165.65,001,00.68,001,,,,,,,,,,,,,,,,,,
1/15/2000 7:30,200001150730,00.02,003,,010,01.20,001,,010,,010,,010,,010,,010,1017.50,001,,010,154.00,001,00.71,001,,,,,,,,,,,,,,,,,,
1/15/2000 8:00,200001150800,00.02,003,,010,00.87,001,,010,,010,,010,,010,,010,1018.00,001,,010,260.95,001,00.78,001,,,,,,,,,,,,,,,,,,
1/15/2000 8:30,200001150830,00.02,003,,010,01.22,001,,010,,010,,010,,010,,010,1018.00,001,,010,253.35,001,00.67,001,,,,,,,,,,,,,,,,,,
1/15/2000 9:00,200001150900,07.71,001,,010,01.17,001,,010,,010,,010,,010,,010,1018.00,001,,010,232.20,001,00.81,001,,,,,,,,,,,,,,,,,,
1/15/2000 9:30,200001150930,25.81,001,,010,00.95,001,,010,,010,,010,,010,,010,1018.50,001,,010,173.90,001,00.96,001,,,,,,,,,,,,,,,,,,
1/15/2000 10:00,200001151000,48.31,001,,010,01.62,001,,010,,010,,010,,010,,010,1019.00,001,,010,193.95,001,00.71,001,,,,,,,,,,,,,,,,,,
1/15/2000 10:30,200001151030,107.85,001,,010,02.40,001,,010,,010,,010,,010,,010,1019.00,001,,010,304.00,001,01.04,001,,,,,,,,,,,,,,,,,,
1/15/2000 11:00,200001151100,166.15,001,,010,03.56,001,,010,,010,,010,,010,,010,1019.00,001,,010,255.60,001,00.89,001,,,,,,,,,,,,,,,,,,
1/15/2000 11:30,200001151130,125.85,001,,010,02.31,001,,010,,010,,010,,010,,010,1019.00,001,,010,199.40,001,02.06,001,,,,,,,,,,,,,,,,,,
1/15/2000 12:00,200001151200,165.55,001,,010,02.15,001,,010,,010,,010,,010,,010,1019.00,001,,010,199.75,001,02.21,001,,,,,,,,,,,,,,,,,,
1/15/2000 12:30,200001151230,168.15,001,,010,02.99,001,,010,,010,,010,,010,,010,1019.00,001,,010,238.60,001,01.44,001,,,,,,,,,,,,,,,,,,
1/15/2000 13:00,200001151300,83.35,001,,010,02.78,001,,010,,010,,010,,010,,010,1019.50,001,,010,253.30,001,01.46,001,,,,,,,,,,,,,,,,,,
1/15/2000 13:30,200001151330,56.01,001,,010,02.71,001,,010,,010,,010,,010,,010,1019.00,001,,010,247.40,001,01.31,001,,,,,,,,,,,,,,,,,,
1/15/2000 14:00,200001151400,67.85,001,,010,02.50,001,,010,,010,,010,,010,,010,1019.00,001,,010,209.40,001,01.96,001,,,,,,,,,,,,,,,,,,
1/15/2000 14:30,200001151430,118.75,001,,010,02.80,001,,010,,010,,010,,010,,010,1019.00,001,,010,202.30,001,01.79,001,,,,,,,,,,,,,,,,,,
1/15/2000 15:00,200001151500,99.00,001,,010,03.04,001,,010,,010,,010,,010,,010,1019.00,001,,010,191.80,001,01.51,001,,,,,,,,,,,,,,,,,,
1/15/2000 15:30,200001151530,48.85,001,,010,02.81,001,,010,,010,,010,,010,,010,1019.00,001,,010,228.25,001,01.15,001,,,,,,,,,,,,,,,,,,
1/15/2000 16:00,200001151600,11.25,001,,010,01.65,001,,010,,010,,010,,010,,010,1019.00,001,,010,186.35,001,01.91,001,,,,,,,,,,,,,,,,,,
1/15/2000 16:30,200001151630,00.02,003,,010,00.88,001,,010,,010,,010,,010,,010,1019.00,001,,010,176.85,001,01.54,001,,,,,,,,,,,,,,,,,,
1/15/2000 17:00,200001151700,00.02,003,,010,00.79,001,,010,,010,,010,,010,,010,1019.00,001,,010,196.70,001,01.81,001,,,,,,,,,,,,,,,,,,
1/15/2000 17:30,200001151730,00.02,003,,010,00.48,001,,010,,010,,010,,010,,010,1019.00,001,,010,188.60,001,01.10,001,,,,,,,,,,,,,,,,,,
1/15/2000 18:00,200001151800,00.02,003,,010,00.73,001,,010,,010,,010,,010,,010,1018.50,001,,010,204.10,001,01.43,001,,,,,,,,,,,,,,,,,,
1/15/2000 18:30,200001151830,00.02,003,,010,-00.27,001,,010,,010,,010,,010,,010,1018.50,001,,010,194.75,001,01.71,001,,,,,,,,,,,,,,,,,,
1/15/2000 19:00,200001151900,00.02,003,,010,-00.59,001,,010,,010,,010,,010,,010,1018.50,001,,010,171.65,001,01.64,001,,,,,,,,,,,,,,,,,,
1/15/2000 19:30,200001151930,00.02,003,,010,-00.78,001,,010,,010,,010,,010,,010,1019.00,001,,010,168.65,001,02.00,001,,,,,,,,,,,,,,,,,,
1/15/2000 20:00,200001152000,00.02,003,,010,-00.73,001,,010,,010,,010,,010,,010,1019.00,001,,010,184.20,001,02.03,001,,,,,,,,,,,,,,,,,,
1/15/2000 20:30,200001152030,00.02,003,,010,-00.76,001,,010,,010,,010,,010,,010,1018.50,001,,010,182.95,001,01.66,001,,,,,,,,,,,,,,,,,,
1/15/2000 21:00,200001152100,00.02,003,,010,-00.98,001,,010,,010,,010,,010,,010,1019.00,001,,010,161.20,001,01.41,001,,,,,,,,,,,,,,,,,,
1/15/2000 21:30,200001152130,00.02,003,,010,-00.85,001,,010,,010,,010,,010,,010,1019.00,001,,010,157.90,001,02.16,001,,,,,,,,,,,,,,,,,,
1/15/2000 22:00,200001152200,00.02,003,,010,-00.87,001,,010,,010,,010,,010,,010,1019.00,001,,010,167.70,001,01.91,001,,,,,,,,,,,,,,,,,,
1/15/2000 22:30,200001152230,00.02,003,,010,-01.13,001,,010,,010,,010,,010,,010,1019.00,001,,010,169.40,001,01.45,001,,,,,,,,,,,,,,,,,,
1/15/2000 23:00,200001152300,00.02,003,,010,-00.74,001,,010,,010,,010,,010,,010,1019.00,001,,010,201.65,001,02.06,001,,,,,,,,,,,,,,,,,,
1/15/2000 23:30,200001152330,00.02,003,,010,-01.02,001,,010,,010,,010,,010,,010,1019.00,001,,010,202.10,001,02.73,001,,,,,,,,,,,,,,,,,,
1/16/2000 0:00,200001160000,00.02,003,,010,-00.99,001,,010,,010,,010,,010,,010,1019.00,001,,010,208.80,001,02.82,001,,,,,,,,,,,,,,,,,,
1/16/2000 0:30,200001160030,00.02,003,,010,-00.96,001,,010,,010,,010,,010,,010,1019.00,001,,010,203.70,001,03.15,001,,,,,,,,,,,,,,,,,,
1/16/2000 1:00,200001160100,00.02,003,,010,-00.76,001,,010,,010,,010,,010,,010,1018.00,001,,010,206.05,001,02.55,001,,,,,,,,,,,,,,,,,,
1/16/2000 1:30,200001160130,00.02,003,,010,-00.59,001,,010,,010,,010,,010,,010,1018.00,001,,010,208.40,001,02.61,001,,,,,,,,,,,,,,,,,,
1/16/2000 2:00,200001160200,00.02,003,,010,-00.33,001,,010,,010,,010,,010,,010,1018.00,001,,010,203.45,001,02.84,001,,,,,,,,,,,,,,,,,,
1/16/2000 2:30,200001160230,00.02,003,,010,-00.13,001,,010,,010,,010,,010,,010,1018.00,001,,010,201.95,001,03.02,001,,,,,,,,,,,,,,,,,,
1/16/2000 3:00,200001160300,00.02,003,,010,-00.05,001,,010,,010,,010,,010,,010,1018.00,001,,010,184.20,001,02.73,001,,,,,,,,,,,,,,,,,,
1/16/2000 3:30,200001160330,00.02,003,,010,00.07,001,,010,,010,,010,,010,,010,1018.00,001,,010,195.65,001,02.54,001,,,,,,,,,,,,,,,,,,
1/16/2000 4:00,200001160400,00.02,003,,010,00.24,001,,010,,010,,010,,010,,010,1018.00,001,,010,201.60,001,02.28,001,,,,,,,,,,,,,,,,,,
1/16/2000 4:30,200001160430,00.02,003,,010,00.38,001,,010,,010,,010,,010,,010,1018.00,001,,010,200.90,001,02.11,001,,,,,,,,,,,,,,,,,,
1/16/2000 5:00,200001160500,00.02,003,,010,02.11,001,,010,,010,,010,,010,,010,1018.00,001,,010,219.30,001,01.82,001,,,,,,,,,,,,,,,,,,
1/16/2000 5:30,200001160530,00.02,003,,010,01.37,001,,010,,010,,010,,010,,010,1017.50,001,,010,187.75,001,01.87,001,,,,,,,,,,,,,,,,,,
1/16/2000 6:00,200001160600,00.02,003,,010,01.53,001,,010,,010,,010,,010,,010,1017.00,001,,010,226.10,001,01.67,001,,,,,,,,,,,,,,,,,,
1/16/2000 6:30,200001160630,00.02,003,,010,02.23,001,,010,,010,,010,,010,,010,1017.00,001,,010,229.00,001,01.86,001,,,,,,,,,,,,,,,,,,
1/16/2000 7:00,200001160700,00.02,003,,010,02.23,001,,010,,010,,010,,010,,010,1016.50,001,,010,232.75,001,01.53,001,,,,,,,,,,,,,,,,,,
1/16/2000 7:30,200001160730,00.02,003,,010,02.57,001,,010,,010,,010,,010,,010,1016.00,001,,010,214.10,001,02.37,001,,,,,,,,,,,,,,,,,,
1/16/2000 8:00,200001160800,00.02,003,,010,02.62,001,,010,,010,,010,,010,,010,1016.00,001,,010,217.40,001,02.42,001,,,,,,,,,,,,,,,,,,
1/16/2000 8:30,200001160830,00.02,003,,010,03.08,001,,010,,010,,010,,010,,010,1016.00,001,,010,249.25,001,02.55,001,,,,,,,,,,,,,,,,,,
1/16/2000 9:00,200001160900,05.70,001,,010,03.22,001,,010,,010,,010,,010,,010,1016.00,001,,010,234.80,001,02.47,001,,,,,,,,,,,,,,,,,,
1/16/2000 9:30,200001160930,30.39,001,,010,03.76,001,,010,,010,,010,,010,,010,1017.00,001,,010,211.25,001,02.75,001,,,,,,,,,,,,,,,,,,
1/16/2000 10:00,200001161000,63.48,001,,010,04.24,001,,010,,010,,010,,010,,010,1017.00,001,,010,228.05,001,02.07,001,,,,,,,,,,,,,,,,,,
1/16/2000 10:30,200001161030,90.75,001,,010,04.43,001,,010,,010,,010,,010,,010,1017.00,001,,010,225.40,001,01.93,001,,,,,,,,,,,,,,,,,,
1/16/2000 11:00,200001161100,101.80,001,,010,04.87,001,,010,,010,,010,,010,,010,1017.00,001,,010,219.70,001,02.40,001,,,,,,,,,,,,,,,,,,
1/16/2000 11:30,200001161130,115.20,001,,010,04.12,001,,010,,010,,010,,010,,010,1017.00,001,,010,210.40,001,02.62,001,,,,,,,,,,,,,,,,,,
1/16/2000 12:00,200001161200,140.65,001,,010,05.26,001,,010,,010,,010,,010,,010,1017.00,001,,010,211.25,001,01.97,001,,,,,,,,,,,,,,,,,,
1/16/2000 12:30,200001161230,128.75,001,,010,04.88,001,,010,,010,,010,,010,,010,1016.50,001,,010,203.00,001,02.83,001,,,,,,,,,,,,,,,,,,
1/16/2000 13:00,200001161300,124.15,001,,010,04.99,001,,010,,010,,010,,010,,010,1017.00,001,,010,204.80,001,02.01,001,,,,,,,,,,,,,,,,,,
1/16/2000 13:30,200001161330,159.75,001,,010,05.78,001,,010,,010,,010,,010,,010,1016.00,001,,010,201.85,001,02.82,001,,,,,,,,,,,,,,,,,,
1/16/2000 14:00,200001161400,112.95,001,,010,06.62,001,,010,,010,,010,,010,,010,1016.00,001,,010,209.45,001,03.14,001,,,,,,,,,,,,,,,,,,
1/16/2000 14:30,200001161430,71.57,001,,010,06.04,001,,010,,010,,010,,010,,010,1016.00,001,,010,191.45,001,02.67,001,,,,,,,,,,,,,,,,,,
1/16/2000 15:00,200001161500,42.13,001,,010,06.14,001,,010,,010,,010,,010,,010,1016.00,001,,010,212.95,001,02.33,001,,,,,,,,,,,,,,,,,,
1/16/2000 15:30,200001161530,28.11,001,,010,06.13,001,,010,,010,,010,,010,,010,1016.00,001,,010,220.35,001,02.25,001,,,,,,,,,,,,,,,,,,
1/16/2000 16:00,200001161600,15.58,001,,010,05.60,001,,010,,010,,010,,010,,010,1016.00,001,,010,200.80,001,02.58,001,,,,,,,,,,,,,,,,,,
1/16/2000 16:30,200001161630,00.02,003,,010,05.85,001,,010,,010,,010,,010,,010,1016.00,001,,010,211.05,001,02.43,001,,,,,,,,,,,,,,,,,,
1/16/2000 17:00,200001161700,00.02,003,,010,05.56,001,,010,,010,,010,,010,,010,1016.00,001,,010,205.20,001,02.63,001,,,,,,,,,,,,,,,,,,
1/16/2000 17:30,200001161730,00.02,003,,010,05.64,001,,010,,010,,010,,010,,010,1016.00,001,,010,204.40,001,02.98,001,,,,,,,,,,,,,,,,,,
1/16/2000 18:00,200001161800,00.02,003,,010,04.60,001,,010,,010,,010,,010,,010,1016.00,001,,010,183.15,001,02.42,001,,,,,,,,,,,,,,,,,,
1/16/2000 18:30,200001161830,00.02,003,,010,04.12,001,,010,,010,,010,,010,,010,1016.00,001,,010,170.65,001,01.78,001,,,,,,,,,,,,,,,,,,
1/16/2000 19:00,200001161900,00.02,003,,010,04.16,001,,010,,010,,010,,010,,010,1016.00,001,,010,180.30,001,01.95,001,,,,,,,,,,,,,,,,,,
1/16/2000 19:30,200001161930,00.02,003,,010,04.92,001,,010,,010,,010,,010,,010,1016.00,001,,010,223.20,001,01.53,001,,,,,,,,,,,,,,,,,,
1/16/2000 20:00,200001162000,00.02,003,,010,04.24,001,,010,,010,,010,,010,,010,1016.00,001,,010,213.00,001,01.91,001,,,,,,,,,,,,,,,,,,
1/16/2000 20:30,200001162030,00.02,003,,010,03.59,001,,010,,010,,010,,010,,010,1016.00,001,,010,193.35,001,01.98,001,,,,,,,,,,,,,,,,,,
1/16/2000 21:00,200001162100,00.02,003,,010,02.91,001,,010,,010,,010,,010,,010,1016.50,001,,010,200.20,001,02.24,001,,,,,,,,,,,,,,,,,,
1/16/2000 21:30,200001162130,00.02,003,,010,02.81,001,,010,,010,,010,,010,,010,1016.00,001,,010,201.15,001,02.84,001,,,,,,,,,,,,,,,,,,
1/16/2000 22:00,200001162200,00.02,003,,010,02.84,001,,010,,010,,010,,010,,010,1016.00,001,,010,207.00,001,04.16,001,,,,,,,,,,,,,,,,,,
1/16/2000 22:30,200001162230,00.02,003,,010,02.67,001,,010,,010,,010,,010,,010,1016.00,001,,010,208.80,001,03.87,001,,,,,,,,,,,,,,,,,,
1/16/2000 23:00,200001162300,00.02,003,,010,02.86,001,,010,,010,,010,,010,,010,1016.00,001,,010,214.85,001,03.36,001,,,,,,,,,,,,,,,,,,
1/16/2000 23:30,200001162330,00.02,003,,010,02.59,001,,010,,010,,010,,010,,010,1016.00,001,,010,213.55,001,03.05,001,,,,,,,,,,,,,,,,,,
1/17/2000 0:00,200001170000,00.02,003,,010,02.91,001,,010,,010,,010,,010,,010,1015.50,001,,010,212.40,001,02.81,001,,,,,,,,,,,,,,,,,,
1/17/2000 0:30,200001170030,00.02,003,,010,03.32,001,,010,,010,,010,,010,,010,1015.00,001,,010,219.10,001,02.13,001,,,,,,,,,,,,,,,,,,
1/17/2000 1:00,200001170100,00.02,003,,010,02.89,001,,010,,010,,010,,010,,010,1015.00,001,,010,195.10,001,01.87,001,,,,,,,,,,,,,,,,,,
1/17/2000 1:30,200001170130,00.02,003,,010,04.26,001,,010,,010,,010,,010,,010,1014.50,001,,010,201.60,001,03.32,001,,,,,,,,,,,,,,,,,,
1/17/2000 2:00,200001170200,00.02,003,,010,04.09,001,,010,,010,,010,,010,,010,1014.00,001,,010,201.95,001,03.79,001,,,,,,,,,,,,,,,,,,
1/17/2000 2:30,200001170230,00.02,003,,010,04.68,001,,010,,010,,010,,010,,010,1015.00,001,,010,221.60,001,04.12,001,,,,,,,,,,,,,,,,,,
1/17/2000 3:00,200001170300,00.02,003,,010,04.90,001,,010,,010,,010,,010,,010,1014.50,001,,010,221.30,001,03.16,001,,,,,,,,,,,,,,,,,,
1/17/2000 3:30,200001170330,00.02,003,,010,04.27,001,,010,,010,,010,,010,,010,1015.00,001,,010,224.15,001,03.73,001,,,,,,,,,,,,,,,,,,
1/17/2000 4:00,200001170400,00.02,003,,010,03.46,001,,010,,010,,010,,010,,010,1014.50,001,,010,211.50,001,04.07,001,,,,,,,,,,,,,,,,,,
1/17/2000 4:30,200001170430,00.02,003,,010,03.41,001,,010,,010,,010,,010,,010,1014.00,001,,010,213.35,001,04.32,001,,,,,,,,,,,,,,,,,,
1/17/2000 5:00,200001170500,00.02,003,,010,03.45,001,,010,,010,,010,,010,,010,1014.00,001,,010,228.10,001,02.67,001,,,,,,,,,,,,,,,,,,
1/17/2000 5:30,200001170530,00.02,003,,010,03.76,001,,010,,010,,010,,010,,010,1014.00,001,,010,207.50,001,03.69,001,,,,,,,,,,,,,,,,,,
1/17/2000 6:00,200001170600,00.02,003,,010,03.94,001,,010,,010,,010,,010,,010,1014.00,001,,010,196.05,001,03.17,001,,,,,,,,,,,,,,,,,,
1/17/2000 6:30,200001170630,00.02,003,,010,04.25,001,,010,,010,,010,,010,,010,1014.00,001,,010,206.05,001,03.39,001,,,,,,,,,,,,,,,,,,
1/17/2000 7:00,200001170700,00.02,003,,010,04.18,001,,010,,010,,010,,010,,010,1014.00,001,,010,207.65,001,02.46,001,,,,,,,,,,,,,,,,,,
1/17/2000 7:30,200001170730,00.02,003,,010,04.00,001,,010,,010,,010,,010,,010,1014.00,001,,010,216.95,001,02.60,001,,,,,,,,,,,,,,,,,,
1/17/2000 8:00,200001170800,00.02,003,,010,04.18,001,,010,,010,,010,,010,,010,1015.00,001,,010,217.80,001,02.85,001,,,,,,,,,,,,,,,,,,
1/17/2000 8:30,200001170830,00.02,003,,010,04.84,001,,010,,010,,010,,010,,010,1015.00,001,,010,232.75,001,02.34,001,,,,,,,,,,,,,,,,,,
1/17/2000 9:00,200001170900,05.30,001,,010,04.32,001,,010,,010,,010,,010,,010,1015.00,001,,010,214.10,001,02.85,001,,,,,,,,,,,,,,,,,,
1/17/2000 9:30,200001170930,21.32,001,,010,04.13,001,,010,,010,,010,,010,,010,1014.50,001,,010,210.00,001,03.70,001,,,,,,,,,,,,,,,,,,
1/17/2000 10:00,200001171000,55.60,001,,010,05.94,001,,010,,010,,010,,010,,010,1014.00,001,,010,218.25,001,03.33,001,,,,,,,,,,,,,,,,,,
1/17/2000 10:30,200001171030,126.65,001,,010,06.33,001,,010,,010,,010,,010,,010,1015.00,001,,010,238.70,001,02.58,001,,,,,,,,,,,,,,,,,,
1/17/2000 11:00,200001171100,161.00,001,,010,06.57,001,,010,,010,,010,,010,,010,1015.00,001,,010,221.15,001,02.61,001,,,,,,,,,,,,,,,,,,
1/17/2000 11:30,200001171130,187.35,001,,010,07.00,001,,010,,010,,010,,010,,010,1015.00,001,,010,228.25,001,02.23,001,,,,,,,,,,,,,,,,,,
1/17/2000 12:00,200001171200,206.00,001,,010,07.06,001,,010,,010,,010,,010,,010,1015.00,001,,010,244.15,001,02.29,001,,,,,,,,,,,,,,,,,,
1/17/2000 12:30,200001171230,212.70,001,,010,07.59,001,,010,,010,,010,,010,,010,1014.50,001,,010,215.75,001,02.29,001,,,,,,,,,,,,,,,,,,
1/17/2000 13:00,200001171300,210.70,001,,010,07.76,001,,010,,010,,010,,010,,010,1015.00,001,,010,230.70,001,02.17,001,,,,,,,,,,,,,,,,,,
1/17/2000 13:30,200001171330,198.70,001,,010,07.84,001,,010,,010,,010,,010,,010,1014.00,001,,010,231.15,001,02.53,001,,,,,,,,,,,,,,,,,,
1/17/2000 14:00,200001171400,175.00,001,,010,07.77,001,,010,,010,,010,,010,,010,1014.00,001,,010,227.35,001,02.47,001,,,,,,,,,,,,,,,,,,
1/17/2000 14:30,200001171430,141.35,001,,010,07.93,001,,010,,010,,010,,010,,010,1015.00,001,,010,227.90,001,01.93,001,,,,,,,,,,,,,,,,,,
1/17/2000 15:00,200001171500,103.05,001,,010,07.68,001,,010,,010,,010,,010,,010,1015.00,001,,010,265.15,001,01.84,001,,,,,,,,,,,,,,,,,,
1/17/2000 15:30,200001171530,56.23,001,,010,07.39,001,,010,,010,,010,,010,,010,1015.00,001,,010,274.05,001,01.42,001,,,,,,,,,,,,,,,,,,
1/17/2000 16:00,200001171600,12.12,001,,010,06.43,001,,010,,010,,010,,010,,010,1015.00,001,,010,273.30,001,01.38,001,,,,,,,,,,,,,,,,,,
1/17/2000 16:30,200001171630,00.02,003,,010,06.08,001,,010,,010,,010,,010,,010,1015.00,001,,010,262.30,001,01.33,001,,,,,,,,,,,,,,,,,,
1/17/2000 17:00,200001171700,00.02,003,,010,06.24,001,,010,,010,,010,,010,,010,1015.00,001,,010,247.15,001,01.59,001,,,,,,,,,,,,,,,,,,
1/17/2000 17:30,200001171730,00.02,003,,010,06.71,001,,010,,010,,010,,010,,010,1015.00,001,,010,290.75,001,01.75,001,,,,,,,,,,,,,,,,,,
1/17/2000 18:00,200001171800,00.02,003,,010,06.77,001,,010,,010,,010,,010,,010,1015.00,001,,010,276.55,001,01.45,001,,,,,,,,,,,,,,,,,,
1/17/2000 18:30,200001171830,00.02,003,,010,06.41,001,,010,,010,,010,,010,,010,1015.00,001,,010,293.65,001,01.67,001,,,,,,,,,,,,,,,,,,
1/17/2000 19:00,200001171900,00.02,003,,010,06.85,001,,010,,010,,010,,010,,010,1015.00,001,,010,280.85,001,01.75,001,,,,,,,,,,,,,,,,,,
1/17/2000 19:30,200001171930,00.02,003,,010,07.45,001,,010,,010,,010,,010,,010,1015.00,001,,010,278.45,001,01.72,001,,,,,,,,,,,,,,,,,,
1/17/2000 20:00,200001172000,00.02,003,,010,07.20,001,,010,,010,,010,,010,,010,1015.00,001,,010,256.95,001,01.81,001,,,,,,,,,,,,,,,,,,
1/17/2000 20:30,200001172030,00.02,003,,010,07.16,001,,010,,010,,010,,010,,010,1015.00,001,,010,257.80,001,02.03,001,,,,,,,,,,,,,,,,,,
1/17/2000 21:00,200001172100,00.02,003,,010,06.86,001,,010,,010,,010,,010,,010,1014.50,001,,010,257.90,001,01.88,001,,,,,,,,,,,,,,,,,,
1/17/2000 21:30,200001172130,00.02,003,,010,06.92,001,,010,,010,,010,,010,,010,1014.00,001,,010,287.85,001,01.75,001,,,,,,,,,,,,,,,,,,
1/17/2000 22:00,200001172200,00.02,003,,010,07.53,001,,010,,010,,010,,010,,010,1014.00,001,,010,310.05,001,02.60,001,,,,,,,,,,,,,,,,,,
1/17/2000 22:30,200001172230,00.02,003,,010,07.21,001,,010,,010,,010,,010,,010,1014.00,001,,010,292.05,001,01.79,001,,,,,,,,,,,,,,,,,,
1/17/2000 23:00,200001172300,00.02,003,,010,07.29,001,,010,,010,,010,,010,,010,1014.00,001,,010,285.55,001,01.97,001,,,,,,,,,,,,,,,,,,
1/17/2000 23:30,200001172330,00.02,003,,010,06.99,001,,010,,010,,010,,010,,010,1014.00,001,,010,290.40,001,02.05,001,,,,,,,,,,,,,,,,,,
1/18/2000 0:00,200001180000,00.02,003,,010,06.72,001,,010,,010,,010,,010,,010,1014.00,001,,010,279.55,001,02.23,001,,,,,,,,,,,,,,,,,,
1/18/2000 0:30,200001180030,00.02,003,,010,06.35,001,,010,,010,,010,,010,,010,1014.00,001,,010,279.95,001,02.01,001,,,,,,,,,,,,,,,,,,
1/18/2000 1:00,200001180100,00.02,003,,010,06.64,001,,010,,010,,010,,010,,010,1014.00,001,,010,289.85,001,02.19,001,,,,,,,,,,,,,,,,,,
1/18/2000 1:30,200001180130,00.02,003,,010,06.37,001,,010,,010,,010,,010,,010,1014.00,001,,010,286.20,001,02.43,001,,,,,,,,,,,,,,,,,,
1/18/2000 2:00,200001180200,00.02,003,,010,06.65,001,,010,,010,,010,,010,,010,1013.00,001,,010,275.75,001,02.18,001,,,,,,,,,,,,,,,,,,
