Conventions, G, BADC-CSV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title, G," ""Annual meteorology since 1988 at the Bush Cabin", UKCEH Edinburgh, Bush Estate, Penicuik, Midlothian," EH26 0QB""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creator, G," ""Mhairi Coyle"""," ""UK Centre for Ecology and Hydrology"""," ""mcoy@ceh.ac.uk""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation_station, G, Bush Cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_type, G, Land surface meteorology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location, G,55.862281,-3.205782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments, G," ""180 m asl""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments, G," ""1988-1994 Hourly"," 1995 onwards 0.5 hourly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments, G," ""short name codes A_B_C; A: 1 = MAIN MAST (4 m moved to 10 m on 18/01/2000); 2 = TIPPING BUCKET; 3 = ON THE CABIN; B = vertical position; C = replicate number""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments, G," ""The height of the mast was increased in January 2000 to move the instruments above the trees growing near the site. The met sensors moved from ca 4 m to 10 m above ground level""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last_revised_date, G, 2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag_values,G,0,1,2,3,4,5,10,12,13,15,16,109,110,108,107,106,105,210,212,213,215,216,310,312,313,315,316,410,412,413,415,416,810,812,813,815,816,910,912,913,915,916
flag_meanings,G,initial data flag for raw data that has had a simple range check,final flag for original measurement that has be verified as okay,data out of range,data below detection limit,data within range but does not follow usual pattern (no reason is not identifiable),calibration span or zero check,no data missing for unknown reason,no data point deleted as out of range,no data point deleted as below detection limit,no data missing due to calibration span or zero check,no data maintenance or site wide issue,data interpolated missing for unknown reason,data interpolated missing for unknown reason,data interpolated missing due to calibration span or zero check,data interpolated fault maintenance or site wide issue,data interpolated point deleted as out of range,data interpolated point deleted as below detection limit,missing for unknown reason gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,point deleted as out of range gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,point deleted as below detection limit gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,data missing due to calibration span or zero check gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,no data maintenance or site wide issue gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,missing for unknown reason gapfilled from nearby sites adjusted by linear interpolation of annual data sets,point deleted as out of range gapfilled from nearby sites adjusted by linear interpolation of annual data sets,point deleted as below detection limit gapfilled from nearby sites adjusted by linear interpolation of annual data sets,data missing due to calibration span or zero check gapfilled from nearby sites adjusted by linear interpolation of annual data sets,no data maintenance or site wide issue gapfilled from nearby sites adjusted by linear interpolation of annual data sets,missing for unknown reason gapfilled with modelled data,point deleted as out of range gapfilled with modelled data,point deleted as below detection limit gapfilled with modelled data,data missing due to calibration span or zero checkgapfilled with modelled data,no data maintenance or site wide issue gapfilled with modelled data,missing for unknown reason gapfilled with derived data calculated from other measured pararmeters,point deleted as out of range gapfilled with derived data calculated from other measured pararmeters,point deleted as below detection limit gapfilled with derived data calculated from other measured pararmeters,data missing due to calibration span or zero check gapfilled with derived data calculated from other measured pararmeters,no data maintenance or site wide issue gapfilled with derived data calculated from other measured pararmeters,missing for unknown reason gapfilled with data dervied from measurements on colocated sensors or a nearby site,point deleted as out of range gapfilled with data dervied from measurements on colocated sensors or a nearby site,point deleted as below detection limit gapfilled with data dervied from measurements on colocated sensors or a nearby site,data missing due to calibration span or zero check gapfilled with data dervied from measurements on colocated sensors or a nearby site,no data maintenance or site wide issue gapfilled with data dervied from measurements on colocated sensors or a nearby site
Long_name,1,Date Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,1,"Format ""DD/MM/YYYY hh:mm""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,2,Date Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,2,"Format ""YYYYMMDDHHMM""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,3,Total global solar radiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,3,RG_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,3,Units Wm/2; Skye SKS1110 s/n 25689 (calibrated August 2002/Nov 2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,3,1/1/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
